dataset,run,fold,classifier,percent_correct,training_time_ms,testing_time_ms
pima,3,7,MykNN1,64.93506493506493,8.203744888305664,3.841876983642578
pima,3,8,MykNN1,70.12987012987013,7.997989654541016,3.941774368286133
pima,3,9,MykNN1,73.68421052631578,26.933670043945312,3.468036651611328
pima,3,10,MykNN1,75.0,8.135557174682617,3.2927989959716797
pima,4,1,MykNN1,74.02597402597402,8.098363876342773,3.403902053833008
pima,4,2,MykNN1,70.12987012987013,8.635520935058594,3.4749507904052734
pima,4,3,MykNN1,72.72727272727273,7.825374603271484,3.206968307495117
pima,4,4,MykNN1,67.53246753246754,7.873773574829102,3.252744674682617
pima,4,5,MykNN1,71.42857142857143,7.874965667724609,3.192424774169922
pima,4,6,MykNN1,67.53246753246754,7.727861404418945,3.2465457916259766
pima,4,7,MykNN1,70.12987012987013,8.031606674194336,3.366231918334961
pima,4,8,MykNN1,72.72727272727273,9.263753890991211,3.4203529357910156
pima,4,9,MykNN1,63.1578947368421,8.276224136352539,3.2815933227539062
pima,4,10,MykNN1,67.10526315789474,8.03375244140625,3.365039825439453
pima,5,1,MykNN1,70.12987012987013,8.172750473022461,3.4422874450683594
pima,5,2,MykNN1,74.02597402597402,7.938861846923828,3.395557403564453
pima,5,3,MykNN1,71.42857142857143,7.939338684082031,3.4329891204833984
pima,5,4,MykNN1,64.93506493506493,8.166313171386719,3.4377574920654297
pima,5,5,MykNN1,68.83116883116884,8.49008560180664,3.28826904296875
pima,5,6,MykNN1,72.72727272727273,7.86900520324707,3.166675567626953
pima,5,7,MykNN1,71.42857142857143,7.894039154052734,3.190755844116211
pima,5,8,MykNN1,71.42857142857143,8.426904678344727,3.2644271850585938
pima,5,9,MykNN1,64.47368421052632,7.936000823974609,3.203868865966797
pima,5,10,MykNN1,63.1578947368421,7.896661758422852,3.23486328125
pima,6,1,MykNN1,72.72727272727273,8.177995681762695,3.5009384155273438
pima,6,2,MykNN1,64.93506493506493,8.128166198730469,3.371000289916992
pima,6,3,MykNN1,67.53246753246754,7.961750030517578,3.3948421478271484
pima,6,4,MykNN1,68.83116883116884,7.907867431640625,3.1948089599609375
pima,6,5,MykNN1,67.53246753246754,7.89332389831543,3.2265186309814453
pima,6,6,MykNN1,64.93506493506493,7.957220077514648,3.4627914428710938
pima,6,7,MykNN1,66.23376623376623,8.112430572509766,3.429889678955078
pima,6,8,MykNN1,71.42857142857143,8.351564407348633,3.419160842895508
pima,6,9,MykNN1,78.94736842105263,8.172273635864258,3.446817398071289
pima,6,10,MykNN1,72.36842105263158,8.160829544067383,3.3822059631347656
pima,7,1,MykNN1,72.72727272727273,27.764558792114258,3.3676624298095703
pima,7,2,MykNN1,74.02597402597402,8.48531723022461,3.2453536987304688
pima,7,3,MykNN1,71.42857142857143,7.896184921264648,3.2281875610351562
pima,7,4,MykNN1,66.23376623376623,8.606433868408203,3.3233165740966797
pima,7,5,MykNN1,75.32467532467533,7.843494415283203,3.350496292114258
pima,7,6,MykNN1,59.74025974025974,8.846282958984375,3.2949447631835938
pima,7,7,MykNN1,67.53246753246754,7.968664169311523,3.3659934997558594
pima,7,8,MykNN1,68.83116883116884,8.71729850769043,3.4682750701904297
pima,7,9,MykNN1,68.42105263157895,8.102893829345703,3.383159637451172
pima,7,10,MykNN1,65.78947368421053,8.595466613769531,3.426790237426758
pima,8,1,MykNN1,71.42857142857143,8.23354721069336,3.334522247314453
pima,8,2,MykNN1,63.63636363636363,8.843183517456055,3.2958984375
pima,8,3,MykNN1,66.23376623376623,18.45693588256836,3.4332275390625
pima,8,4,MykNN1,62.33766233766234,8.196592330932617,3.4182071685791016
pima,8,5,MykNN1,64.93506493506493,8.095502853393555,3.325223922729492
pima,8,6,MykNN1,75.32467532467533,7.9212188720703125,3.3004283905029297
pima,8,7,MykNN1,74.02597402597402,7.867336273193359,3.416776657104492
pima,8,8,MykNN1,66.23376623376623,7.977724075317383,3.409147262573242
pima,8,9,MykNN1,69.73684210526315,8.31294059753418,3.3321380615234375
pima,8,10,MykNN1,73.68421052631578,8.2855224609375,3.3881664276123047
pima,9,1,MykNN1,68.83116883116884,8.282661437988281,3.482818603515625
pima,9,2,MykNN1,72.72727272727273,8.635520935058594,3.3609867095947266
pima,9,3,MykNN1,63.63636363636363,7.924556732177734,3.3540725708007812
pima,9,4,MykNN1,64.93506493506493,8.610010147094727,3.345012664794922
pima,9,5,MykNN1,66.23376623376623,8.059024810791016,3.2346248626708984
pima,9,6,MykNN1,84.4155844155844,27.087688446044922,3.929615020751953
pima,9,7,MykNN1,67.53246753246754,8.002519607543945,3.459453582763672
pima,9,8,MykNN1,64.93506493506493,8.658885955810547,3.207683563232422
pima,9,9,MykNN1,65.78947368421053,7.964134216308594,3.2341480255126953
pima,9,10,MykNN1,63.1578947368421,8.846044540405273,3.412485122680664
pima,10,1,MykNN1,71.42857142857143,8.083581924438477,3.4732818603515625
pima,10,2,MykNN1,63.63636363636363,7.99870491027832,3.454923629760742
pima,10,3,MykNN1,72.72727272727273,8.622407913208008,3.4303665161132812
pima,10,4,MykNN1,68.83116883116884,8.518218994140625,3.4651756286621094
