dataset,run,fold,classifier,percent_correct,training_time_ms,testing_time_ms
pima-CFS,6,1,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,6,2,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,6,3,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,6,4,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,6,5,ZeroR,64.93506493506493,0.0,1.0
pima-CFS,6,6,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,6,7,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,6,8,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,6,9,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,6,10,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,7,1,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,7,2,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,7,3,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,7,4,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,7,5,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,7,6,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,7,7,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,7,8,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,7,9,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,7,10,ZeroR,65.78947368421052,1.0,0.0
pima-CFS,8,1,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,8,2,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,8,3,ZeroR,64.93506493506493,0.0,1.0
pima-CFS,8,4,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,8,5,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,8,6,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,8,7,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,8,8,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,8,9,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,8,10,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,9,1,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,9,2,ZeroR,64.93506493506493,1.0,0.0
pima-CFS,9,3,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,9,4,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,9,5,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,9,6,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,9,7,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,9,8,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,9,9,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,9,10,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,10,1,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,10,2,ZeroR,64.93506493506493,1.0,0.0
pima-CFS,10,3,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,10,4,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,10,5,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,10,6,ZeroR,64.93506493506493,0.0,0.0
